timestamps,TP9,AF7,AF8,TP10,Right AUX
1739045365.445,-55.176,-487.305,-312.988,80.566,0.000
1739045365.450,-42.969,-640.625,-413.574,100.586,0.000
1739045365.454,-6.836,-774.902,-414.551,138.184,0.000
1739045365.458,-20.508,-559.570,-323.242,119.141,0.000
1739045365.462,-44.922,-431.152,-329.590,66.406,0.000
1739045365.465,-21.973,-549.316,-406.250,103.027,0.000
1739045365.469,-32.227,-835.938,-516.113,156.738,0.000
1739045365.473,-49.316,-991.699,-523.438,149.902,0.000
1739045365.477,-5.371,-905.762,-457.031,150.391,0.000
1739045365.481,-9.766,-838.379,-465.820,165.039,0.000
1739045365.485,-21.973,-883.789,-522.461,141.602,0.000
1739045365.489,2.930,-784.668,-459.961,112.305,0.000
1739045365.493,3.906,-665.527,-418.945,96.680,0.000
1739045365.497,4.883,-822.754,-529.785,141.113,0.000
1739045365.501,7.324,-989.746,-628.906,191.406,0.000
1739045365.505,-1.953,-869.141,-500.977,145.508,0.000
1739045365.508,-15.137,-891.602,-535.645,107.910,0.000
1739045365.512,23.438,-1000.000,-658.203,139.160,0.000
1739045365.516,37.109,-1000.000,-636.230,130.859,0.000
1739045365.520,-13.184,-958.008,-521.973,96.680,0.000
1739045365.524,16.602,-817.871,-445.801,99.121,0.000
1739045365.528,39.062,-904.297,-567.383,111.816,0.000
1739045365.532,15.137,-952.637,-575.684,120.117,0.000
1739045365.536,20.508,-782.227,-431.641,117.676,0.000
1739045365.539,17.578,-755.371,-428.711,148.438,0.000
1739045365.544,51.758,-921.875,-631.836,171.875,0.000
1739045365.548,74.707,-943.848,-663.086,115.723,0.000
1739045365.551,45.898,-774.902,-437.012,79.102,0.000
1739045365.555,23.926,-766.602,-475.586,90.332,0.000
1739045365.559,29.297,-906.738,-551.270,107.910,0.000
1739045365.563,42.969,-1000.000,-576.172,144.043,0.000
1739045365.567,37.598,-966.797,-536.621,165.039,0.000
1739045365.571,37.598,-964.844,-548.828,149.902,0.000
1739045365.575,43.945,-991.211,-601.562,152.344,0.000
1739045365.579,17.578,-884.766,-517.090,150.879,0.000
1739045365.582,-6.348,-826.172,-485.840,113.770,0.000
1739045365.586,25.391,-944.336,-595.215,136.719,0.000
1739045365.591,29.785,-1000.000,-635.742,177.246,0.000
1739045365.594,11.719,-870.605,-513.672,172.363,0.000
1739045365.598,29.297,-777.832,-464.355,119.629,0.000
1739045365.602,72.266,-882.812,-583.496,76.172,0.000
1739045365.606,65.918,-998.047,-678.223,94.727,0.000
1739045365.610,65.918,-994.629,-616.699,108.398,0.000
1739045365.614,98.633,-995.117,-593.750,138.184,0.000
1739045365.618,67.871,-1000.000,-720.703,144.531,0.000
1739045365.622,42.480,-988.281,-721.191,104.980,0.000
1739045365.625,69.336,-903.809,-509.766,87.891,0.000
1739045365.629,82.520,-940.430,-590.820,121.094,0.000
1739045365.633,53.711,-1000.000,-628.418,122.559,0.000
1739045365.638,61.035,-883.301,-517.578,66.895,0.000
1739045365.641,63.965,-773.926,-490.234,84.961,0.000
1739045365.645,16.113,-834.473,-551.270,109.863,0.000
1739045365.649,20.996,-958.008,-606.445,24.414,0.000
1739045365.653,26.367,-895.996,-544.922,-12.695,0.000
1739045365.657,33.691,-924.316,-569.336,32.227,0.000
1739045365.661,51.758,-1000.000,-599.121,55.664,0.000
1739045365.665,19.531,-1000.000,-702.148,70.312,0.000
1739045365.669,18.555,-936.523,-624.512,68.848,0.000
1739045365.672,65.430,-733.887,-447.754,56.641,0.000
1739045365.676,47.852,-795.410,-521.484,66.895,0.000
1739045365.680,34.180,-883.789,-528.809,91.797,0.000
1739045365.684,68.848,-742.676,-452.637,87.891,0.000
1739045365.688,95.215,-750.488,-479.004,53.223,0.000
1739045365.692,89.844,-958.008,-614.258,119.629,0.000
1739045365.696,65.430,-915.039,-583.008,133.301,0.000
1739045365.700,36.621,-707.520,-452.637,70.312,0.000
1739045365.704,50.781,-858.398,-499.023,53.223,0.000
1739045365.708,70.312,-1000.000,-627.441,29.785,0.000
1739045365.711,67.871,-911.133,-624.023,41.992,0.000
1739045365.715,68.359,-715.820,-445.312,29.297,0.000
1739045365.719,76.172,-631.348,-401.855,41.504,0.000
1739045365.723,108.398,-843.750,-594.727,97.656,0.000
1739045365.727,115.723,-939.453,-661.621,121.094,0.000
1739045365.731,82.031,-690.430,-407.227,85.938,0.000
1739045365.735,108.887,-606.445,-413.086,123.535,0.000
1739045365.739,113.281,-805.176,-492.676,119.629,0.000
1739045365.743,50.293,-793.457,-426.270,63.477,0.000
1739045365.747,52.246,-670.410,-426.270,83.984,0.000
1739045365.751,59.082,-852.051,-482.422,84.473,0.000
1739045365.754,59.570,-961.426,-567.383,128.906,0.000
1739045365.758,79.102,-1000.000,-571.289,122.559,0.000
1739045365.762,70.312,-776.367,-382.324,63.477,0.000
1739045365.766,101.562,-608.398,-364.258,99.121,0.000
1739045365.770,94.727,-734.375,-408.691,153.809,0.000
1739045365.774,36.133,-621.094,-359.375,113.281,0.000
1739045365.778,33.691,-481.445,-333.984,73.242,0.000
1739045365.782,39.551,-649.902,-436.035,111.328,0.000
1739045365.786,41.504,-825.684,-502.930,124.512,0.000
1739045365.790,67.871,-623.047,-389.160,149.414,0.000
1739045365.793,52.246,-571.289,-380.371,154.785,0.000
1739045365.797,5.371,-851.074,-599.609,153.809,0.000
1739045365.801,62.988,-1000.000,-652.832,171.875,0.000
1739045365.805,50.293,-741.211,-411.621,137.695,0.000
1739045365.809,-31.738,-697.754,-448.242,111.328,0.000
1739045365.813,-6.836,-953.125,-552.734,122.070,0.000
1739045365.817,13.184,-844.238,-477.539,86.914,0.000
1739045365.821,15.625,-629.883,-393.555,123.047,0.000
1739045365.825,4.395,-650.879,-434.570,160.156,0.000
1739045365.829,25.879,-824.707,-469.727,68.848,0.000
1739045365.833,16.602,-797.852,-419.922,74.219,0.000
1739045365.836,-29.297,-600.098,-359.863,148.926,0.000
1739045365.840,-4.395,-543.457,-389.648,147.461,0.000
1739045365.844,20.996,-783.691,-484.863,96.680,0.000
1739045365.848,34.668,-915.039,-441.406,99.609,0.000
1739045365.852,25.391,-788.086,-375.977,152.344,0.000
1739045365.856,10.742,-667.969,-383.301,145.508,0.000
1739045365.860,28.320,-782.227,-432.129,124.512,0.000
1739045365.864,64.941,-665.527,-340.820,147.461,0.000
1739045365.867,22.461,-414.551,-303.711,92.773,0.000
1739045365.872,-1.953,-703.125,-418.945,116.699,0.000
1739045365.876,23.438,-789.062,-409.180,149.902,0.000
1739045365.880,45.898,-500.977,-319.824,82.520,0.000
1739045365.883,54.688,-418.945,-312.988,135.742,0.000
1739045365.887,41.016,-654.785,-418.945,162.598,0.000
1739045365.891,47.852,-862.793,-480.469,86.914,0.000
1739045365.895,46.387,-737.305,-388.672,81.543,0.000
1739045365.899,57.617,-468.262,-297.363,87.402,0.000
1739045365.903,56.152,-655.273,-449.707,103.027,0.000
1739045365.907,23.926,-881.836,-529.785,125.000,0.000
1739045365.910,30.273,-471.191,-293.457,79.102,0.000
1739045365.914,54.688,-325.195,-293.457,59.082,0.000
1739045365.919,71.289,-631.836,-363.770,84.473,0.000
1739045365.923,62.012,-658.691,-322.266,102.539,0.000
1739045365.927,76.660,-364.746,-283.691,103.516,0.000
1739045365.931,94.727,-500.977,-360.352,109.863,0.000
1739045365.934,96.191,-755.371,-416.992,130.371,0.000
1739045365.938,86.914,-783.691,-403.320,145.020,0.000
1739045365.942,30.273,-739.258,-396.973,155.762,0.000
1739045365.946,26.855,-683.594,-360.840,163.574,0.000
1739045365.950,82.520,-848.145,-466.797,171.875,0.000
1739045365.954,74.707,-770.996,-442.383,134.766,0.000
1739045365.958,41.992,-342.285,-282.715,107.910,0.000
1739045365.962,54.688,-459.473,-378.906,145.020,0.000
1739045365.966,41.016,-656.250,-423.828,149.902,0.000
1739045365.970,20.996,-510.254,-356.934,160.645,0.000
1739045365.974,41.504,-430.176,-346.680,191.895,0.000
1739045365.978,26.367,-638.672,-444.824,146.484,0.000
1739045365.981,21.484,-815.918,-518.555,86.426,0.000
1739045365.985,18.555,-836.426,-508.301,146.484,0.000
1739045365.989,-7.324,-858.398,-467.285,197.754,0.000
1739045365.993,-29.785,-915.527,-551.270,166.016,0.000
1739045365.997,-29.785,-902.344,-548.828,116.211,0.000
1739045366.001,-25.879,-631.348,-325.195,62.988,0.000
1739045366.005,-7.812,-563.477,-344.238,85.938,0.000
1739045366.009,8.301,-806.641,-419.922,130.371,0.000
1739045366.013,14.648,-732.910,-338.379,130.859,0.000
1739045366.017,36.621,-453.613,-273.438,144.531,0.000
1739045366.021,3.418,-462.891,-291.016,135.742,0.000
1739045366.025,-13.672,-786.133,-482.422,143.555,0.000
1739045366.028,41.992,-919.434,-530.273,122.559,0.000
1739045366.032,43.457,-743.652,-384.766,196.289,0.000
1739045366.036,-9.277,-787.109,-406.250,222.656,0.000
1739045366.040,-6.348,-856.445,-415.039,105.469,0.000
1739045366.044,-18.066,-642.090,-327.148,95.215,0.000
1739045366.048,-37.109,-416.504,-312.012,81.543,0.000
1739045366.052,-29.785,-581.055,-406.250,101.562,0.000
1739045366.056,-5.859,-862.793,-468.262,142.578,0.000
1739045366.060,30.762,-661.621,-352.051,139.648,0.000
1739045366.064,10.742,-342.773,-296.387,143.066,0.000
1739045366.068,-23.438,-549.316,-402.832,139.160,0.000
1739045366.071,-44.434,-773.438,-437.988,169.434,0.000
1739045366.075,-51.270,-494.141,-310.059,161.621,0.000
1739045366.079,-3.906,-521.973,-343.750,120.605,0.000
1739045366.083,18.555,-845.703,-486.816,143.555,0.000
1739045366.087,-11.230,-804.688,-461.914,135.254,0.000
1739045366.091,-40.527,-445.801,-290.039,148.926,0.000
1739045366.095,-37.109,-250.000,-237.793,161.133,0.000
1739045366.099,-13.672,-616.699,-397.949,130.371,0.000
1739045366.102,7.324,-840.820,-466.797,154.297,0.000
1739045366.107,-3.906,-360.352,-234.863,144.531,0.000
1739045366.110,2.930,-274.902,-274.414,134.766,0.000
1739045366.114,43.945,-606.445,-356.445,151.855,0.000
1739045366.118,40.039,-494.629,-248.047,169.922,0.000
1739045366.122,-9.766,-259.766,-241.699,143.066,0.000
1739045366.126,-41.016,-498.047,-331.055,102.051,0.000
1739045366.130,-7.812,-855.469,-482.422,166.016,0.000
1739045366.134,26.855,-870.605,-434.082,187.500,0.000
1739045366.138,-1.953,-376.465,-206.055,134.766,0.000
1739045366.141,2.930,-324.219,-266.113,125.000,0.000
1739045366.145,15.625,-507.812,-306.152,117.188,0.000
1739045366.149,-33.691,-382.324,-255.371,146.973,0.000
1739045366.153,-32.715,-201.172,-208.008,169.922,0.000
1739045366.157,-23.926,-352.051,-290.527,143.066,0.000
1739045366.161,-0.977,-564.941,-361.816,123.047,0.000
1739045366.165,18.555,-381.348,-255.859,114.746,0.000
